"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05224","hsa05224","Breast cancer",0.0231400117164616,"148/8843",0.000167345955802107,2.78897390594766,0.00111731735903963,"324/8312/8313/673/672/675/1026/1499/10683/1855/1857/1870/1871/1956/2064/2100/2255/2247/27006/2251/2252/2254/2260/2324/8321/2535/7976/8322/8323/2885/23493/3480/182/3714/3845/51176/4041/4040/5594/5595/2475/8648/8202/4851/4853/4855/5241/5290/5295/8503/5728/5925/6198/53358/399694/6667/6932/83439/6934/7157/7471/7482/7473/54361/7474/7475/7476/7477/7483/7484/5604/5293/1950/8822/5291/5296/51426/5894/6654",79
"hsa05414","hsa05414","Dilated cardiomyopathy",0.0172817809021675,"105/8843",0.000180094589986323,2.76932291684873,0.00116903505780596,"108/109/111/114/115/183/487/488/775/776/781/9254/55799/93589/783/784/785/786/10368/27091/59285/59284/59283/1605/1756/2778/22801/3673/3655/3679/3680/3685/3690/3691/3696/284217/3908/4000/4624/4842/5567/6262/6442/137868/6546/6543/6547/7042/7169/7273/112/1837/3678/3688/7168/60/113/859/3675",59
"hsa04070","hsa04070","Phosphatidylinositol signaling system",0.0161101347393087,"98/8843",0.00030716181430128,2.57078489381326,0.00184656907614743,"805/8760/1606/1607/8527/8526/160851/9162/8525/3633/22876/3636/9807/51447/3707/3708/3709/3710/8776/8898/8897/9107/55361/5297/5298/5286/5290/5295/8503/5305/8396/23396/23236/5330/5332/5333/113026/51196/5335/5336/5578/5579/5582/5728/8871/5287/5293/8867/3631/8821/56623/64768/5291/5296/8394",55
"hsa04925","hsa04925","Aldosterone synthesis and secretion",0.0161101347393087,"98/8843",0.00030716181430128,2.57078489381326,0.00184656907614743,"108/109/111/114/115/183/476/477/480/491/492/775/776/8912/8911/805/57118/814/10488/9586/1589/747/221955/2778/3283/3708/3709/3710/3777/51305/3949/3991/3164/4929/5138/23236/5330/5332/5443/5567/5578/5579/5581/5582/5587/949/112/1388/490/493/8913/113/57172/1585/185",55
"hsa04010","hsa04010","MAPK signaling pathway",0.0424721734036321,"300/8843",0.000308177406627308,2.57078489381326,0.00184656907614743,"284/285/408/627/673/773/774/775/776/777/8912/8911/781/9254/55799/93589/783/784/785/786/10368/27091/59285/59284/59283/994/1436/11221/80824/1847/1852/51295/1945/1946/1956/1969/2064/2065/2066/355/356/2255/2247/27006/2251/2252/2254/2260/2263/2324/2668/55970/2885/3303/3480/3551/3556/3643/8681/3845/5609/4214/9175/4215/4216/4293/9448/5594/5595/9479/23162/9261/7867/4137/4149/2122/4763/4790/51701/3164/4908/4914/4915/56034/80310/5156/5494/5495/5530/5536/5567/5578/5579/5582/84867/5778/5801/9693/5921/5923/5924/10125/25780/5979/6196/22800/10454/23118/57551/7010/7042/7046/7048/7132/7157/7186/7424/8913/2264/2321/5604/5062/5532/6195/51347/1616/1950/8822/2322/7786/10746/5602/5598/5599/4772/5159/5894/27330/6654/6789/9344/6885/11184/10235/8491",145
"hsa05223","hsa05223","Non-small cell lung cancer",0.0125951962507323,"73/8843",0.00033450325903121,2.54618072087431,0.0019542032501297,"238/572/673/1026/1029/1870/1871/1956/27436/2064/2309/2885/3798/3799/3845/5594/5595/5290/5295/8503/5335/5336/5578/5579/5582/5915/83593/5925/5979/6256/6774/7157/5604/5293/1950/3718/5291/5296/51426/5894/6654/6777/6789",43
"hsa05213","hsa05213","Endometrial cancer",0.0105448154657293,"59/8843",0.000391137914595108,2.48897502374747,0.00222933548241627,"324/8312/8313/572/673/999/1026/1495/1496/29119/1499/1956/2064/2309/2885/3611/3845/51176/5594/5595/5290/5295/8503/5728/6932/83439/6934/7157/5604/5293/1950/5291/5296/51426/5894/6654",36
"hsa01522","hsa01522","Endocrine resistance",0.0161101347393087,"99/8843",0.000434098293954695,2.46440145951162,0.00235911435147962,"108/109/111/114/115/572/596/673/10498/1026/1029/10683/1870/1871/1956/2064/2100/2778/2885/3480/182/3714/3845/5594/5595/5469/4318/2475/8202/9611/4851/4853/4855/5290/5295/8503/5567/5747/5925/6198/53358/399694/6667/7157/112/5604/4313/5293/113/5602/5599/5291/5296/5894/6654",55
"hsa05410","hsa05410","Hypertrophic cardiomyopathy",0.0161101347393087,"99/8843",0.000434098293954695,2.46440145951162,0.00235911435147962,"183/487/488/775/776/781/9254/55799/93589/783/784/785/786/10368/27091/59285/59284/59283/1605/1756/22801/3673/3655/3679/3680/3685/3690/3691/3696/284217/3908/4000/4624/4842/5562/5563/5564/5571/6262/6442/137868/6546/6543/6547/7042/7169/7273/1837/3678/3688/7168/1636/60/859/3675",55
"hsa04725","hsa04725","Cholinergic synapse",0.0181605155243117,"115/8843",0.000574083022555701,2.35299905584299,0.00304895767960205,"108/109/111/114/115/596/773/774/775/776/814/1128/1136/1137/8973/1139/1141/1143/10488/9586/2771/55970/2788/2792/3708/3709/3710/3770/3760/3761/3763/3784/3785/3786/56479/3845/5594/5595/5290/5294/5295/8503/23533/23236/5330/5332/5567/5578/5579/5582/60482/112/5604/5293/43/113/2534/2773/2783/3717/5291/5296",62
"hsa04022","hsa04022","cGMP-PKG signaling pathway",0.0248974809607499,"166/8843",0.000588200391182018,2.35220828773488,0.00305451431210311,"108/109/111/114/115/134/140/148/147/146/155/476/477/480/487/488/491/492/572/624/775/776/805/1259/10488/9586/1910/2626/10672/2771/3643/8660/3708/3709/3710/3764/3778/3779/10242/27094/157855/5594/5595/4209/4624/4638/340156/4773/4879/4882/4985/5138/5139/5140/5294/23533/23236/5330/5332/4659/5530/5581/5592/387/6093/9475/6546/6543/6547/7225/112/1388/490/493/5604/4776/4846/5532/113/1258/2773/100271849/4772/5894/185",85
